campaign_source,campaign_medium,top page,s_campaign_source,s_campaign_medium,search_page,region,prefecture,city,c_user
null,null," ",null,null," ",null,null,null,15051
AD,ydntg,/sumina/salon/,AD,ydntg," ",null,null,null,4543
fb,display," ",fb,display," ",null,null,null,4494
AD,gdntg,/sumina/salon/,AD,gdntg," ",null,null,null,4436
AD,FBIG," ",AD,FBIG," ",null,null,null,4413
YSS,shinmantion," ",YSS,shinmantion,/sumina/search/,近畿,大阪府,null,4112
GAW,shinmantion," ",GAW,shinmantion,/sumina/search/,東海,愛知県,名古屋市,3260
GAW,shinmantion," ",GAW,shinmantion,/sumina/search/,近畿,大阪府,null,3164
null,null,/,null,null," ",null,null,null,3126
YSS,shinmantion," ",YSS,shinmantion,/sumina/search/,東海,愛知県,名古屋市,2665
line,display," ",line,display," ",null,null,null,2435
GAW,simei,/sumina/,GAW,simei," ",null,null,null,2344
YSS,shinmantion," ",YSS,shinmantion,/sumina/search/,近畿,京都府,null,2203
AD,YDN," ",AD,YDN," ",null,null,null,1840
YSS,shinmantion," ",YSS,shinmantion,/sumina/search/,中国,広島県,null,1529
YSS,shinkodate," ",YSS,shinkodate,/sumina/search/,近畿,大阪府,null,1360
null,null," ",null,null,/sumina/search/,null,null,null,1356
GAW,shinmantion," ",GAW,shinmantion,/sumina/search/,近畿,大阪府,大阪市,1353
gs,search," ",gs,search," ",null,null,null,1265
GAW,shinkodate," ",GAW,shinkodate,/sumina/search/,近畿,大阪府,null,1186
YSS,simei,/sumina/,YSS,simei," ",null,null,null,1158
AD,ig,/sumina/salon/,AD,ig," ",null,null,null,1155
GAW,shinmantion," ",GAW,shinmantion,/sumina/search/,近畿,兵庫県,西宮市,1121
AD,GDN," ",AD,GDN," ",null,null,null,1116
GAW,shinmantion," ",GAW,shinmantion,/sumina/search/,近畿,京都府,null,1075
null,null,/sumina/,null,null," ",null,null,null,1023
YSS,shinmantion," ",YSS,shinmantion,/sumina/search/,中国,広島県,広島市,898
google,cpc,/,google,cpc," ",null,null,null,864
YSS,shinmantion," ",YSS,shinmantion,/sumina/search/,九州・沖縄,熊本県,,860
AD,GDNRM," ",AD,GDNRM," ",null,null,null,811
facebook,banner," ",facebook,banner," ",null,null,null,798
google,find," ",google,find," ",null,null,null,788
YSS,shinmantion," ",YSS,shinmantion,/sumina/search/,近畿,兵庫県,西宮市,774
AD,GAW," ",AD,GAW," ",null,null,null,771
YSS,shinmantion," ",YSS,shinmantion,/sumina/search/,中国,岡山県,null,719
GAW,shinmantion," ",GAW,shinmantion,/sumina/search/,近畿,京都府,京都市,663
YSS,shinmantion," ",YSS,shinmantion,/sumina/search/,近畿,京都府,京都市,615
AD,YDNRT," ",AD,YDNRT," ",null,null,null,601
YSS,shinmantion," ",YSS,shinmantion,/sumina/search/,近畿,大阪府,大阪市,598
yahoo,cpc,/,yahoo,cpc," ",null,null,null,592
GAW,shinmantion," ",GAW,shinmantion,/sumina/search/,九州・沖縄,宮崎県,,587
AD,LINE," ",AD,LINE," ",null,null,null,582
GAW,shinmantion," ",GAW,shinmantion,/sumina/search/,九州・沖縄,沖縄県,浦添市,550
GAW,shinmantion," ",GAW,shinmantion,/sumina/search/,null,null,null,535
GAW,shinmantion," ",GAW,shinmantion,/sumina/search/,中国,沖縄県,null,531
YSS,shinmantion," ",YSS,shinmantion,/sumina/search/,東海,岐阜県,null,515
GAW,shinmantion," ",GAW,shinmantion,/sumina/search/,九州・沖縄,熊本県,,510
GAW,shinmantion," ",GAW,shinmantion,/sumina/search/,九州・沖縄,沖縄県,名護市,501
GAW,shinmantion," ",GAW,shinmantion,/sumina/search/,中国,広島県,広島市,501
GAW,shinmantion," ",GAW,shinmantion,/sumina/search/,中国,広島県,null,484
GAW,shinmantion," ",GAW,shinmantion,/sumina/search/,九州・沖縄,沖縄県,宜野湾市,483
YSS,shinmantion," ",YSS,shinmantion,/sumina/search/,中国,岡山県,岡山市,481
YSS,shinmantion," ",YSS,shinmantion,/sumina/search/,九州・沖縄,宮崎県,,475
null,null,/sumina/salon/,null,null," ",null,null,null,470
GAW,shinmantion," ",GAW,shinmantion,/sumina/search/,東海,三重県,四日市市,428
GAW,shinkodate," ",GAW,shinkodate,/sumina/search/,近畿,兵庫県,西宮市,423
YSS,shinkodate," ",YSS,shinkodate,/sumina/search/,近畿,兵庫県,西宮市,415
GAW,shinkodate," ",GAW,shinkodate,/sumina/search/,近畿,滋賀県,null,412
YSS,shinkodate," ",YSS,shinkodate,/sumina/search/,近畿,大阪府,大阪市,393
